iter	Passed	Remaining
0	186	186315
1	187	93644
2	188	62676
3	189	47186
4	190	37881
5	191	31671
6	191	27222
7	192	23907
8	193	21324
9	194	19256
10	195	17566
11	196	16154
12	196	14945
13	197	13908
14	198	13028
15	199	12246
16	199	11559
17	200	10940
18	201	10386
19	201	9888
20	202	9437
21	203	9027
22	203	8652
23	204	8309
24	205	7997
25	205	7706
26	206	7437
27	207	7190
28	207	6960
29	208	6745
30	209	6548
31	210	6360
32	210	6180
33	212	6030
34	213	5876
35	213	5727
36	214	5588
37	215	5456
38	216	5328
39	216	5205
40	217	5088
41	218	4979
42	219	4876
43	219	4776
44	220	4689
45	221	4602
46	222	4521
47	223	4440
48	224	4361
49	225	4286
50	226	4214
51	227	4142
52	227	4072
53	228	4010
54	229	3948
55	230	3888
56	231	3826
57	232	3775
58	233	3721
59	234	3681
60	237	3650
61	238	3609
62	239	3560
63	240	3512
64	241	3474
65	242	3428
66	243	3384
67	243	3336
68	243	3292
69	244	3249
70	245	3208
71	245	3168
72	246	3129
73	246	3090
74	247	3053
75	248	3018
76	249	2990
77	250	2966
78	251	2934
79	252	2902
80	253	2873
81	254	2844
82	254	2813
83	255	2783
84	255	2752
85	256	2723
86	256	2693
87	257	2665
88	257	2638
89	258	2612
90	258	2586
91	259	2561
92	260	2536
93	260	2512
94	261	2489
95	261	2465
96	262	2442
97	263	2422
98	264	2406
99	265	2391
100	266	2371
101	266	2348
102	267	2329
103	268	2314
104	269	2294
105	269	2275
106	270	2256
107	270	2238
108	271	2219
109	272	2201
110	272	2183
111	273	2166
112	273	2148
113	274	2131
114	274	2115
115	275	2099
116	276	2083
117	276	2067
118	277	2051
119	277	2036
120	278	2025
121	279	2014
122	280	2001
123	281	1989
124	282	1976
125	283	1967
126	284	1954
127	284	1939
128	285	1925
129	285	1912
130	286	1899
131	286	1886
132	287	1873
133	288	1861
134	288	1849
135	289	1837
136	289	1825
137	290	1813
138	290	1802
139	291	1790
140	292	1779
141	292	1768
142	293	1760
143	294	1752
144	295	1744
145	296	1735
146	298	1730
147	298	1720
148	299	1710
149	299	1699
150	300	1689
151	301	1679
152	301	1670
153	302	1660
154	302	1650
155	303	1641
156	303	1632
157	304	1622
158	305	1613
159	305	1604
160	306	1595
161	306	1586
162	307	1578
163	307	1569
164	309	1563
165	310	1559
166	311	1552
167	311	1544
168	312	1536
169	313	1530
170	313	1522
171	314	1514
172	315	1506
173	315	1498
174	316	1490
175	316	1483
176	317	1475
177	317	1468
178	318	1461
179	319	1453
180	319	1445
181	319	1437
182	320	1431
183	321	1424
184	321	1418
185	322	1411
186	324	1411
